time	I(R20)+I(R21)
1.354355443647861e-04	5.057071e-01
1.355355443647861e-04	5.022772e-01
1.356355443647861e-04	4.989556e-01
1.357355443647861e-04	4.957473e-01
1.358355443647861e-04	4.926691e-01
1.359355443647861e-04	4.897264e-01
1.360355443647861e-04	4.869358e-01
1.361355443647861e-04	4.843019e-01
1.362355443647861e-04	4.818398e-01
1.363355443647861e-04	4.795519e-01
1.364355443647861e-04	4.774505e-01
1.365355443647862e-04	4.755348e-01
1.366355443647862e-04	4.738134e-01
1.367355443647862e-04	4.722817e-01
1.368355443647862e-04	4.709445e-01
1.369355443647862e-04	4.697934e-01
1.370355443647862e-04	4.688298e-01
1.371355443647862e-04	4.680422e-01
1.372355443647862e-04	4.674294e-01
1.373355443647862e-04	4.669780e-01
1.374355443647862e-04	4.666851e-01
1.375355443647862e-04	4.665362e-01
1.376355443647862e-04	4.665277e-01
1.377355443647862e-04	4.666448e-01
1.378355443647862e-04	4.668840e-01
1.379355443647862e-04	4.672307e-01
1.380355443647862e-04	4.676819e-01
1.381355443647862e-04	4.682237e-01
1.382355443647862e-04	4.688538e-01
1.383355443647862e-04	4.695590e-01
1.384355443647862e-04	4.703378e-01
1.385355443647862e-04	4.711779e-01
1.386355443647862e-04	4.720786e-01
1.387355443647862e-04	4.730283e-01
1.388355443647862e-04	4.740272e-01
1.389355443647862e-04	4.750642e-01
1.390355443647862e-04	4.761400e-01
1.391355443647862e-04	4.772444e-01
1.392355443647862e-04	4.783785e-01
1.393355443647862e-04	4.795324e-01
1.394355443647862e-04	4.807078e-01
1.395355443647862e-04	4.818951e-01
1.396355443647862e-04	4.830964e-01
1.397355443647862e-04	4.843023e-01
1.398355443647862e-04	4.855149e-01
1.399355443647862e-04	4.867254e-01
1.400355443647862e-04	4.879360e-01
1.401355443647862e-04	4.891378e-01
1.402355443647862e-04	4.903334e-01
1.403355443647862e-04	4.915140e-01
1.404355443647862e-04	4.926821e-01
1.405355443647862e-04	4.938293e-01
1.406355443647863e-04	4.949580e-01
1.407355443647863e-04	4.960599e-01
1.408355443647863e-04	4.971377e-01
1.409355443647863e-04	4.981832e-01
1.410355443647863e-04	4.991991e-01
1.411355443647863e-04	5.001775e-01
1.412355443647863e-04	5.011213e-01
1.413355443647863e-04	5.020227e-01
1.414355443647863e-04	5.028850e-01
1.415355443647863e-04	5.037006e-01
1.416355443647863e-04	5.044731e-01
1.417355443647863e-04	5.051953e-01
1.418355443647863e-04	5.058711e-01
1.419355443647863e-04	5.064937e-01
1.420355443647863e-04	5.070675e-01
1.421355443647863e-04	5.075860e-01
1.422355443647863e-04	5.080541e-01
1.423355443647863e-04	5.084658e-01
1.424355443647863e-04	5.088264e-01
1.425355443647863e-04	5.091306e-01
1.426355443647863e-04	5.093841e-01
1.427355443647863e-04	5.095819e-01
1.428355443647863e-04	5.097304e-01
1.429355443647863e-04	5.098251e-01
1.430355443647863e-04	5.098726e-01
1.431355443647863e-04	5.098690e-01
1.432355443647863e-04	5.098214e-01
1.433355443647863e-04	5.097263e-01
1.434355443647863e-04	5.095910e-01
1.435355443647863e-04	5.094123e-01
1.436355443647863e-04	5.091979e-01
